,partition,sem,syn,coverage,selectivity,prominence
0,1,-2.391080501003795,-3.036005475812557,2.5608635815864877,2.4376251732034095,-1.8665377768350848
1,2,-1.551680088837062,-1.344118287524638,1.363844569328078,1.0506617816633372,1.2976875356927344
2,3,-0.7504342408597258,-1.2446967854445659,1.293657972848836,0.9848494946418574,0.4289074215609201
3,4,-0.7357594084791885,-0.7348252096651411,0.9916511248900348,0.6494985504038979,0.40738286813604324
4,5,-2.018339758538148,-1.7735380130128888,1.6520402147613067,0.7541768066076855,-0.34198506086951547
5,6,-1.7835424404495512,-1.5072907670713085,1.394689049844441,0.5713970976337132,0.27414984999181474
6,7,-0.20453047630373852,-0.8867689344084433,1.0190484883694624,1.2605361065214968,0.06411709474159165
7,8,0.2122347633035206,-0.4055071864306899,0.74084635753692,1.046861484028122,0.5089555232897001
8,9,0.7874881926205825,-0.2079092962512635,0.33293017257004526,0.036537560975909426,1.5861244483383976
9,10,0.3648530200611084,-0.055598457173827415,-0.11539911053768373,1.1085541661998028,1.1989413848758994
10,11,1.4801402809819426,0.6627904671747468,-0.23096902945649483,-0.1430837015047033,0.2300819588714114
11,12,0.752268594907293,0.17114111195138576,-0.5535261908211457,-0.4792888748714541,-0.08590087006923387
12,13,0.056681540069825294,-0.13822428654398075,0.44354992172619423,1.130917237104081,0.7115243582289935
13,14,-1.5487451223609545,-0.6486652306171333,0.6914098983012651,0.29447696840843424,-0.060316519483156625
14,15,1.0222855107091793,0.6226604482338501,-0.38674093696328266,0.13777138506414907,1.0362199655052096
15,16,0.2474543610168101,0.8224559801801518,-0.24093198701738675,-0.5861674428437079,1.6266464840436867
16,17,0.7786832931922602,-0.41135728795959314,0.6282423721869558,1.688774109725741,-1.3354261657093422
17,18,-0.01669262183286117,0.4886240221328125,-0.3530649885615961,-0.002907978992199664,0.9132432282274183
18,19,0.5116013438664814,0.9897593256971783,-0.7398483838941734,-0.029996063017385156,1.3311414775172832
19,20,0.17408019911412365,0.2562805900742141,-0.2798837986197026,-0.8973378340008066,-0.08089092450036793
20,21,-0.348343833633004,0.7875539844433904,-0.8429499919230914,-0.514437159368787,0.6825929319906633
21,22,1.1191394044207252,0.9211137635551144,-0.664219319452047,-0.6116413452619756,0.10535951717039807
22,23,0.291478858158422,0.23488693542261613,-0.1965455984231789,-0.26632564166958717,-0.49508022651626243
23,24,0.6407398688152095,0.9183636707539118,-0.9565713560141107,-1.0142448633068424,0.2934456607547521
24,25,0.7962930920489049,0.4575492508300122,-0.5272125063280694,-0.3474367922020459,-1.3515044157823533
25,26,-0.6330355818154275,-0.1492069794575678,0.1505161758750892,-1.0303384164749794,-0.5982728512835188
26,27,0.16821026616190873,0.6497032904651432,-0.8950700065624877,-1.0499375044037622,-0.1095807384237563
27,28,-0.5479215540083112,0.14975040888855892,-1.0601257274514857,-1.1811445165156127,-2.049598200692585
28,29,0.08016127187868496,1.132039265032586,-1.3415136479927805,-1.3759718225000017,-1.0821561461151143
29,30,0.6730245000523916,1.000833664885911,-1.2275259461063182,-1.2614086628944687,-0.5438048721462252
30,31,1.142619136229585,0.8893655670394952,-1.3251803242248332,-0.7191203881749227,-1.1444583366023253
31,32,1.2306681305128087,1.3888404506124712,-1.3260110494752961,-1.641848914178507,-1.5510086039077817
