,age,sem,syn,coverage,selectivity,prominence
0,200,-2.565543322840713,-2.016114119013222,0.9762222078131562,1.3939741243639514,-1.8116964337348347
1,300,-1.471943648176146,-1.6861438765214536,2.211819803462727,1.897349087495648,0.10937724263120989
2,400,-0.7328217870711524,-0.4537429262007431,0.6036509664952012,0.6286042909619799,1.1609168921810167
3,500,-0.4958727978938388,-1.5189467469992994,1.6230192715770428,1.5842647830292305,-0.4014687227528984
4,600,-0.4770653585439941,-0.8200425736070206,0.7614153201012599,1.241930083766187,0.638496678699872
5,700,0.18842437856008423,0.259355391121982,-0.5535114707852354,-0.3048954037033998,0.17660592431255834
6,800,0.9379085574731588,0.7790817672559146,-0.7944806751232925,-0.41239041335043664,1.4208508612944617
7,900,0.22382054945509355,0.6727778804170407,-0.008430690300301562,-0.17191994360024287,0.0880721927489741
8,1000,0.15935860337909702,0.15632933808292002,0.20787532124723623,-0.23743512383006837,0.9164380512364914
9,1100,-0.7282356776032035,-0.002689584830259979,0.5350530257531778,0.1958959389420006,-1.1069492580861526
10,1200,0.8394943707145498,-0.3771913420650223,-0.041744103472303895,-0.06740956364867297,-1.818163805307275
11,1300,0.9861895539171166,0.6531043826800297,-0.6124416385608632,-1.1028306500958638,0.1325179578576091
12,1400,1.0789625528353786,1.0395593122742608,-1.0056419649185375,-1.0471572634464728,1.396170701264748
13,1500,-0.08435460234968903,0.8997590186946259,-0.9215835308906626,-0.7211423201177622,-0.39881424791220954
14,1600,0.5360589588203192,0.3660031654055183,-1.0237835864233273,-1.014258953025814,-0.4315001907428997
15,1700,1.186804098521489,0.8465222158161093,-0.7463506986882295,-1.0348626255596551,-0.7585873359580015
16,1800,0.41881557080241977,1.2023786974886332,-1.2110875572876534,-0.8277160481806533,0.6877334922673254
